"","Input","Outputs","Min","Nominal","Max","Index"
"1","ST Participation Rate","TotalFruit",78741,71623,66754,0.167362439439845
"2","ST Participation Rate","TotalConsumed",0.401899899671074,0.483503902377728,0.556041585522965,-0.31880132733959
"3","ST Participation Rate","TotalDiscarded",0.101814810581527,0.113455175013613,0.121415945111903,-0.172765451448334
"4","ST Participation Rate","TotalReserviced",0.158595903023838,0.0707454309369895,0.0216017017706804,1.93643885461908
"5","Pr Sharing Food","TotalFruit",66358,71600,77971,0.162192737430168
"6","Pr Sharing Food","TotalConsumed",0.519002983815064,0.483491620111732,0.451552500288569,-0.139507037393756
"7","Pr Sharing Food","TotalDiscarded",0.16300973507339,0.114594972067039,0.0682048453912352,-0.827304095215389
"8","Pr Sharing Food","TotalReserviced",0.0215196359142831,0.072108938547486,0.143232740377833,1.68790592283365
"9","Pr Eating ST Food","TotalFruit",71428,71748,71281,-0.00204883759826058
"10","Pr Eating ST Food","TotalConsumed",0.478985831886655,0.485044879299771,0.499684347862684,0.042673403759896
"11","Pr Eating ST Food","TotalDiscarded",0.123676989415915,0.112003122038245,0.102088915699836,-0.192745285338635
"12","Pr Eating ST Food","TotalReserviced",0.0676625413003304,0.07056642693873,0.0689384267897476,0.0180806304749569
"13","Pr_Select_Fr","TotalFruit",65544,71627,77966,0.173426221955408
"14","Pr_Select_Fr","TotalConsumed",0.361055169046747,0.488991581386907,0.573185747633584,0.433812332689203
"15","Pr_Select_Fr","TotalDiscarded",0.0922738923471256,0.112680972259064,0.128376471795398,0.320396414092604
"16","Pr_Select_Fr","TotalReserviced",0.0268216770413768,0.0705460231476957,0.100954262114255,1.05084002988621
"17","Pr_Eat_Fr","TotalFruit",86457,71907,63918,-0.313446535107848
"18","Pr_Eat_Fr","TotalConsumed",0.298495205709196,0.484806764292767,0.649300666478926,0.723598527511229
"19","Pr_Eat_Fr","TotalDiscarded",0.140034930659172,0.113048799143338,0.0642229106042116,-0.67061322746857
"20","Pr_Eat_Fr","TotalReserviced",0.219797124582162,0.0719540517613028,0.00657091898995588,-2.96336620902953
