"Treatment","Treatment.Desc","NWeeks","Participating.Students","NStudentCosumedFood","ConsumptionRate","TotalFruitSystem","TotalFruitConsumed","TotalFruitDiscarded","PercentConsumed","PercentDiscarded","X0","X.0","X.100","X.1000","Mean.Prevalence.Ill","MedianPrev","Top.97.5.Ill","Bot.025.Ill"
1,"ON",200,325000,132552,40.7852307692308,171422,142118,29304,82.9053447048804,17.0946552951196,82.1911400808739,8.92630816585189,3.75098074717847,5.13157100609572,0.877032849075201,0.00842696629213483,1.75444523470839,0.267737617135207
2,"OFF",200,325000,114614,35.2658461538462,184928,114614,70314,61.9776345388475,38.0223654611524,85.6021079449282,6.89880817352156,3.00312352766678,4.49596035388347,0.830280730085987,0.00830564784053156,1.72711571675302,0.170357751277683
3,"ONWash",200,325000,132491,40.7664615384615,171237,141989,29248,82.9195792965305,17.0804207034695,83.0879078578922,8.30848887848986,3.48476500290586,5.11883826071205,0.883847269885615,0.00846262341325811,1.7910447761194,0.146188174517927
4,"ONWr",200,325000,132353,40.724,171309,142017,29292,82.9010734987654,17.0989265012346,87.5869832946741,7.19439680249031,2.34826562299306,2.87035427984254,0.485871643365502,0.00430416068866571,1.12363501319553,0
5,"OFFWash",200,325000,114936,35.3649230769231,184890,114936,69954,62.1645302612364,37.8354697387636,85.3910002088119,7.07002157722559,2.99035985243962,4.54861836152293,0.847281430855957,0.00830564784053156,1.7986421673472,0.170068027210884
6,"OFFWr",200,325000,114625,35.2692307692308,184487,114625,69862,62.1317491205342,37.8682508794658,88.9526717557252,6.20370774263904,2.13565976008724,2.70796074154853,0.48871356509913,0.005,1.18243243243243,0
7,"XExc",200,325000,132389,40.7350769230769,171736,141743,29993,82.5354031769693,17.4645968230307,83.3143236975882,8.24086593297026,3.48367311483582,4.96113725460575,0.850463083429821,0.00836820083682008,1.68302945301543,0.145560407569141
8,"XSTClosed",200,325000,133400,41.0461538461538,184710,143425,41285,77.6487466839911,22.3512533160089,83.3005997001499,8.16491754122939,3.43553223388306,5.09895052473763,0.879270029286963,0.00835654596100279,1.81570594210258,0.263852242744063
9,"STAside",200,325000,114935,35.3646153846154,184710,114935,32475,62.2245682421093,17.5816144226084,84.9567146648105,7.46856919128203,3.11306390568582,4.4616522382216,0.807839102705156,0.00727272727272727,1.74520069808028,0.166389351081531
10,"Touch",200,325000,132588,40.7963076923077,171401,142165,29236,82.9429233201673,17.0570766798327,95.5440914713247,1.72036685069539,0.929948411620961,1.80559326635895,0.31683825705875,0.00282485875706215,0.845070422535211,0
11,"TouchST",200,325000,132934,40.9027692307692,171805,142647,29158,83.0284333983295,16.9715666016705,82.6831359922969,8.52904448824228,3.6123188950908,5.17550062436999,0.896617182677859,0.0085348506401138,1.7687074829932,0.147492625368732
12,"WStation",200,325000,132828,40.8701538461538,171815,142410,29405,82.8856619037919,17.1143380962081,87.0840485439817,8.27988074803505,2.41665913813353,2.21941156984973,0.372908128502747,0.00292397660818713,0.97629009762901,0
13,"WBucket",200,325000,132560,40.7876923076923,171681,142185,29496,82.8192985828368,17.1807014171632,84.630356065178,8.05899215449608,3.09369342184671,4.21695835847918,0.733019197791927,0.00702247191011236,1.54929577464789,0.140845070422535
