"Treatment","Treatment.Desc","NWeeks","Participating.Students","NStudentCosumedFood","ConsumptionRate","TotalFruitSystem","TotalFruitConsumed","TotalFruitDiscarded","PercentConsumed","PercentDiscarded","X0","X.0","X.100","X.1000","Mean.Prevalence.Ill","MedianPrev","Top.97.5.Ill","Bot.025.Ill"
1,"ON",1000,1625000,651824,40.1122461538462,856278,694913,161365,81.1550687977503,18.8449312022497,70.0933073958615,14.4540550823535,6.239567736076,9.21306978570903,1.59263268802789,0.015625,2.74963820549928,0.671140939597315
2,"OFF",1000,1625000,573365,35.284,922839,573365,349474,62.1305558174286,37.8694441825714,74.2973498556766,12.2117673733137,5.40371316700531,8.08716960400443,1.49192235902286,0.0143884892086331,2.67857142857143,0.523560209424084
3,"ONWash",1000,1625000,653022,40.1859692307692,857931,695672,162259,81.0871736771372,18.9128263228628,71.0989828826594,14.0710420169611,6.02353366349066,8.8064414368888,1.52793568246604,0.014903129657228,2.64318893403032,0.581395348837209
4,"ONWr",1000,1625000,653480,40.2141538461538,858246,696296,161950,81.1301188703472,18.8698811296528,77.7448429944298,12.8542572075656,4.27924343514721,5.12165636285732,0.885892024450911,0.00859598853868195,1.72166427546628,0.276625172890733
5,"OFFWash",1000,1625000,573369,35.2842461538462,924662,573369,351293,62.0084960774856,37.9915039225144,74.8361003123643,12.0339606780276,5.2798459630709,7.85009304653722,1.44602602774144,0.0140105078809107,2.64084507042254,0.512820512820513
6,"OFFWr",1000,1625000,572338,35.2208,924122,572338,351784,61.9331646687342,38.0668353312658,80.1087818736481,11.2353189898277,3.88476739269453,4.7711317438297,0.87894824909539,0.00860585197934595,1.77304964539007,0.174216027874564
7,"XExc",1000,1625000,649467,39.9672,859163,690914,168249,80.4171036229447,19.5828963770553,71.4835395793782,13.979463159791,5.94718438350216,8.58981287732864,1.4870716654145,0.0145137880986938,2.59567276985309,0.577200577200577
8,"XSTClosed",1000,1625000,655169,40.3180923076923,923438,699872,223566,75.7898202153258,24.2101797846742,71.5424569843811,13.6543395673483,5.95342575732368,8.84977769094692,1.52825624141421,0.0149253731343284,2.64623955431755,0.582241630276565
9,"STAside",1000,1625000,572665,35.2409230769231,923438,572665,170997,62.0144503475057,18.5174315980066,72.4715147599382,13.7769900378057,5.59576715881012,8.15572804344599,1.50099212009594,0.0145454545454545,2.68336314847943,0.522648083623693
10,"Touch",1000,1625000,653346,40.2059076923077,858609,696171,162438,81.0812605039081,18.9187394960919,92.3278018079241,2.89892338822002,1.65991679753148,3.11335800632437,0.55505960793859,0.00559440559440559,1.16788321167883,0.136612021857924
11,"TouchST",1000,1625000,653464,40.2131692307692,857847,696039,161808,81.1378952190775,18.8621047809225,71.0862419352864,13.9360393227477,6.07470342666161,8.90301531530429,1.5407881778087,0.0150273224043716,2.66106442577031,0.597907324364723
12,"WStation",1000,1625000,654288,40.2638769230769,857931,696893,161038,81.2294928146902,18.7705071853098,78.0459063898467,13.79163304233,4.25179737363363,3.91066319418971,0.650460801247995,0.00589101620029455,1.40449438202247,0.13869625520111
13,"WBucket",1000,1625000,652036,40.1252923076923,857306,694998,162308,81.0676701201205,18.9323298798795,72.3254544227619,13.8515358047715,5.73971375813605,8.0832960143305,1.39619097723482,0.0135685210312076,2.46376811594203,0.557880055788006
14,"Sanitizer",1000,1625000,651860,40.1144615384615,856979,694647,162332,81.0576455199019,18.9423544800981,79.0608412849385,13.3525603657227,3.86141195962323,3.72518638971558,0.625188677038692,0.00443786982248521,1.8978102189781,0
